"Gender","Family","Height","Father","Mother"
"male",1,73.2,78.5,67
"female",1,69.2,78.5,67
"female",1,69,78.5,67
"female",1,69,78.5,67
"male",2,73.5,75.5,66.5
"male",2,72.5,75.5,66.5
"female",2,65.5,75.5,66.5
"female",2,65.5,75.5,66.5
"male",3,71,75,64
"female",3,68,75,64
"male",4,70.5,75,64
"male",4,68.5,75,64
"female",4,67,75,64
"female",4,64.5,75,64
"female",4,63,75,64
"male",5,72,75,58.5
"male",5,69,75,58.5
"male",5,68,75,58.5
"female",5,66.5,75,58.5
"female",5,62.5,75,58.5
"female",5,62.5,75,58.5
"female",6,69.5,74,68
"male",7,76.5,74,68
"male",7,74,74,68
"male",7,73,74,68
"male",7,73,74,68
"female",7,70.5,74,68
"female",7,64,74,68
"female",8,70.5,74,66.5
"female",8,68,74,66.5
"female",8,66,74,66.5
"female",9,66,74.5,66
"female",10,65.5,74,65.5
"male",11,74,74,62
"male",11,70,74,62
"female",11,68,74,62
"female",11,67,74,62
"female",11,67,74,62
"female",11,66,74,62
"female",11,63.5,74,62
"female",11,63,74,62
"female",12,65,74,61
"male",13,71,73,67
"female",13,62,73,67
"male",14,68,73,67
"male",14,67,73,67
"male",15,71,73,66.5
"male",15,70.5,73,66.5
"female",15,66.7,73,66.5
"male",16,72,73,65
"male",16,70.5,73,65
"male",16,70.2,73,65
"male",16,70.2,73,65
"male",16,69.2,73,65
"female",16,68.7,73,65
"female",16,66.5,73,65
"female",16,64.5,73,65
"female",16,63.5,73,65
"male",17,74,73,64.5
"male",17,73,73,64.5
"male",17,71.5,73,64.5
"male",17,62.5,73,64.5
"female",17,66.5,73,64.5
"female",17,62.3,73,64.5
"female",18,66,73,64
"female",18,64.5,73,64
"female",18,64,73,64
"female",19,62.7,73.2,63
"male",20,73.2,72.7,69
"male",20,73,72.7,69
"male",20,72.7,72.7,69
"female",20,70,72.7,69
"female",20,69,72.7,69
"female",20,68.5,72.7,69
"female",20,68,72.7,69
"female",20,66,72.7,69
"male",21,73,72,68
"female",21,68.5,72,68
"female",21,68,72,68
"male",22,73,72,67
"male",22,71,72,67
"female",22,67,72,67
"male",23,74.2,72,65
"male",23,70.5,72,65
"male",23,69.5,72,65
"female",23,66,72,65
"female",23,65.5,72,65
"female",23,65,72,65
"female",23,65,72,65
"female",24,65.5,72,65.5
"female",25,66,72,64
"female",25,63,72,64
"male",26,70.5,72,63
"male",26,70.5,72,63
"male",26,69,72,63
"female",26,65,72,63
"female",26,63,72,63
"male",27,69,72,63
"male",27,67,72,63
"female",27,63,72,63
"male",28,73,72,63
"male",28,67,72,63
"female",28,70.5,72,63
"female",28,70,72,63
"female",28,66.5,72,63
"female",28,63,72,63
"female",29,67.5,72.5,63.5
"female",29,67.2,72.5,63.5
"female",29,66.7,72.5,63.5
"female",30,64,72,62
"male",31,71,72.5,62
"male",31,70,72.5,62
"male",31,70,72.5,62
"female",31,66,72.5,62
"female",31,65,72.5,62
"female",31,65,72.5,62
"male",32,74,72,62
"male",32,72,72,62
"male",32,69,72,62
"female",32,67.5,72,62
"female",32,63.5,72,62
"male",33,72,72,62
"male",33,71.5,72,62
"male",33,71.5,72,62
"male",33,70,72,62
"female",33,68,72,62
"female",34,65.7,72,61
"male",35,78,71,69
"male",35,74,71,69
"male",35,73,71,69
"male",35,72,71,69
"female",35,67,71,69
"male",36,73.2,71,67
"male",36,73,71,67
"male",36,69,71,67
"female",36,67,71,67
"male",37,70,71,66
"female",37,67,71,66
"female",37,67,71,66
"female",37,66.5,71,66
"male",38,70,71,66
"male",38,69,71,66
"male",38,68.5,71,66
"female",38,66,71,66
"female",38,64.5,71,66
"female",38,63,71,66
"male",39,71,71,66
"female",39,67,71,66
"male",40,76,71,66
"male",40,72,71,66
"male",40,71,71,66
"male",40,66,71,66
"female",40,66,71,66
"male",41,70.5,71.7,65.5
"male",42,72,71,65.5
"male",42,72,71,65.5
"male",42,71,71,65.5
"male",42,69,71,65.5
"female",42,66,71,65.5
"female",42,65,71,65.5
"male",43,73,71.5,65.5
"female",43,65.2,71.5,65.5
"male",44,68.5,71.5,65
"male",44,67.7,71.5,65
"male",45,68,71,65
"male",45,68,71,65
"female",45,62,71,65
"female",46,68,71,64
"female",46,68,71,64
"female",46,67.5,71,64
"female",46,66.5,71,64
"female",46,66.5,71,64
"female",46,66,71,64
"female",46,65.5,71,64
"female",46,65,71,64
"male",47,72,71.7,64.5
"male",47,71,71.7,64.5
"male",47,70.5,71.7,64.5
"female",47,67,71.7,64.5
"male",48,68,71,64
"male",48,68,71,64
"male",48,68,71,64
"male",49,72,71.5,64.5
"male",49,71,71.5,64.5
"male",49,70,71.5,64.5
"female",49,66,71.5,64.5
"female",49,64.5,71.5,64.5
"female",49,64.5,71.5,64.5
"female",49,62,71.5,64.5
"male",50,73,71,64.5
"female",50,62,71,64.5
"female",51,67.5,71.2,63
"female",51,64.5,71.2,63
"male",52,71,71,63.5
"male",52,67,71,63.5
"female",52,66,71,63.5
"female",52,65,71,63.5
"female",52,63.5,71,63.5
"male",53,71,71,63
"male",53,70,71,63
"male",53,70,71,63
"male",53,64,71,63
"female",53,65,71,63
"female",53,65,71,63
"female",53,64,71,63
"female",53,63,71,63
"female",53,63,71,63
"male",54,71,71,63
"male",54,71,71,63
"male",54,70,71,63
"female",54,63.5,71,63
"male",55,71,71,62
"male",55,70,71,62
"female",55,64.5,71,62
"female",55,62.5,71,62
"female",55,61.5,71,62
"male",56,72,71,62
"male",56,70.5,71,62
"male",56,70.5,71,62
"female",56,64.5,71,62
"female",56,60,71,62
"male",57,70,71,62.5
"female",57,64,71,62.5
"female",57,64,71,62.5
"female",57,64,71,62.5
"female",57,62.5,71,62.5
"male",58,70.5,71,62
"male",58,70,71,62
"male",58,69,71,62
"male",58,69,71,62
"male",58,66,71,62
"female",58,64.5,71,62
"female",58,64,71,62
"female",59,62,71,61
"male",60,71.5,71,58
"male",60,69,71,58
"male",61,71,70,69
"male",61,70,70,69
"male",61,69,70,69
"female",61,69,70,69
"male",62,70,70,69
"male",62,68.7,70,69
"female",62,68,70,69
"female",62,66,70,69
"female",62,64,70,69
"female",62,62,70,69
"male",63,75,70,68
"male",64,70,70,67
"male",64,69,70,67
"female",64,66,70,67
"female",64,64,70,67
"female",64,60,70,67
"female",65,67.5,70,67
"male",66,73,70,66.5
"male",66,72,70,66.5
"male",66,72,70,66.5
"male",66,66.5,70,66.5
"female",66,69.2,70,66.5
"female",66,67.2,70,66.5
"female",66,66.5,70,66.5
"female",66,66,70,66.5
"female",66,66,70,66.5
"female",66,64.2,70,66.5
"female",66,63.7,70,66.5
"male",67,72,70.5,65
"male",67,70.2,70.5,65
"male",67,69,70.5,65
"male",67,68.5,70.5,65
"female",68,68,70.5,65
"female",68,65,70.5,65
"female",68,61.5,70.5,65
"female",68,61,70.5,65
"female",68,61,70.5,65
"male",69,73,70,65
"male",69,72,70,65
"male",69,70.5,70,65
"male",69,65,70,65
"male",69,65,70,65
"female",69,64.5,70,65
"female",69,63,70,65
"female",69,62,70,65
"male",70,67,70,65
"male",70,65,70,65
"female",70,64.5,70,65
"female",70,62.5,70,65
"female",70,62.5,70,65
"male",71,70,70,65
"male",71,70,70,65
"female",71,67,70,65
"female",71,65,70,65
"female",71,65,70,65
"female",71,63,70,65
"male",72,79,70,65
"male",72,75,70,65
"male",72,71,70,65
"female",72,69,70,65
"female",72,67,70,65
"female",72,65.7,70,65
"female",72,62,70,65
"male",73,73,70,65
"male",73,72.5,70,65
"female",73,65,70,65
"male",74,69,70,65
"male",74,69,70,65
"male",75,72,70,64.7
"male",75,70,70,64.7
"male",75,68.7,70,64.7
"female",75,66.5,70,64.7
"female",75,65.5,70,64.7
"female",75,64.7,70,64.7
"female",75,64.5,70,64.7
"male",76,70.7,70,64
"male",76,70,70,64
"male",76,68,70,64
"male",76,67,70,64
"male",76,66,70,64
"male",76,65,70,64
"female",76,67,70,64
"male",77,70,70,64
"male",77,68,70,64
"male",77,66.7,70,64
"female",77,65.5,70,64
"male",78,72,70,64.2
"male",78,70,70,64.2
"female",78,62.5,70,64.2
"female",78,61.2,70,64.2
"female",78,60.1,70,64.2
"male",79,74,70.5,64
"male",79,69.5,70.5,64
"male",79,69,70.5,64
"male",79,68,70.5,64
"male",79,68,70.5,64
"male",79,68,70.5,64
"female",79,65.5,70.5,64
"female",79,65,70.5,64
"female",80,60,70.5,64.5
"male",81,68,70,64
"female",81,65,70,64
"female",81,64,70,64
"female",81,62,70,64
"male",82,71,70,64
"male",82,70,70,64
"male",82,70,70,64
"male",82,70,70,64
"male",82,69.5,70,64
"male",82,68.5,70,64
"female",82,69,70,64
"female",82,65,70,64
"female",82,64,70,64
"male",83,70,70,63.7
"male",83,67,70,63.7
"male",83,65.5,70,63.7
"female",83,63.7,70,63.7
"female",83,63.2,70,63.7
"female",83,62.5,70,63.7
"female",83,62.2,70,63.7
"female",83,61,70,63.7
"male",84,70,70.5,63
"male",84,68.5,70.5,63
"female",84,65.5,70.5,63
"female",84,63.5,70.5,63
"male",85,72.5,70.5,63
"male",85,69,70.5,63
"male",85,67,70.5,63
